,Unnamed: 0,Regular Season,Regular Season.1,Regular Season.2,Regular Season.3,Regular Season.4,Regular Season.5,Unnamed: 7,Playoffs,Playoffs.1
0,,W,L,W/L%,GB,PS/G,PA/G,,W,L
1,Real Madrid *,29,5,.853,-,95.0,81.4,,8,3
2,FC Barcelona Lassa *,29,5,.853,-,83.4,70.1,,6,4
3,Valencia Basket Club *,28,6,.824,1.0,83.3,73.6,,3,3
4,Laboral Kutxa Baskonia *,24,10,.706,5.0,87.9,79.5,,3,4
5,Herbalife Gran Canaria *,21,13,.618,8.0,82.9,79.6,,1,2
6,Unicaja Malaga *,20,14,.588,9.0,77.6,73.8,,0,2
7,UCAM Murcia CB *,18,16,.529,11.0,78.9,78.3,,1,2
8,Montakit Fuenlabrada *,17,17,.500,12.0,82.1,83.9,,0,2
9,Dominion Bilbao Basket,16,18,.471,13.0,77.9,80.2,,,
10,Iberostar Tenerife,16,18,.471,13.0,76.8,79.6,,,
11,Baloncesto Sevilla,14,20,.412,15.0,78.3,84.5,,,
12,CAI Zaragoza,13,21,.382,16.0,80.0,81.7,,,
13,FIATC Joventut,13,21,.382,16.0,77.5,81.9,,,
14,MoraBanc Andorra,12,22,.353,17.0,80.7,83.1,,,
15,ICL Manresa,10,24,.294,19.0,70.1,78.5,,,
16,Rio Natura Monbus Obradoiro,10,24,.294,19.0,75.4,79.0,,,
17,Movistar Estudiantes,9,25,.265,20.0,75.4,82.0,,,
18,RETAbet.es GBC,7,27,.206,22.0,72.9,85.1,,,
