,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,Real Madrid,0.579,0.5429999999999999,157.9,31.0,71.3,51.5,54.8,12.8,9.5,8.7,1.3,64.2,117.8,106.8,11.0,3086.2,73.1
1,2,Herbalife Gran Canaria,0.581,0.539,159.1,32.8,72.3,52.7,55.1,15.4,11.2,6.6,1.3,59.4,114.9,104.2,10.7,2553.8,73.0
2,3,Valencia Basket,0.594,0.552,163.0,29.4,76.2,53.1,61.2,15.5,9.3,4.7,1.4,58.9,114.9,105.8,9.1,3060.2,71.2
3,4,KIROLBET Baskonia Vitoria-Gasteiz,0.563,0.525,153.5,28.2,72.2,50.9,56.1,15.8,9.7,7.7,1.3,55.5,109.2,100.6,8.6,2964.4,75.5
4,5,FC Barcelona Lassa,0.605,0.5720000000000001,160.9,27.6,72.2,51.7,55.2,17.0,9.0,6.2,1.4,55.3,114.1,106.4,7.7,2495.3,70.5
5,6,Iberostar Tenerife,0.5760000000000001,0.547,158.5,27.9,71.3,50.0,65.2,16.4,8.1,5.6,1.3,52.8,110.9,103.8,7.1,2403.2,68.7
6,7,Unicaja Malaga,0.586,0.5489999999999999,160.5,33.7,71.5,52.5,62.1,15.9,8.9,5.3,1.3,57.0,115.8,110.2,5.6,2670.0,70.0
7,8,UCAM Murcia,0.5670000000000001,0.525,159.6,30.1,77.3,52.7,49.7,16.0,8.6,4.5,1.3,48.5,110.4,110.7,-0.3,2317.6,72.4
8,9,Movistar Estudiantes,0.568,0.529,156.4,23.1,70.1,46.4,54.4,14.4,10.2,6.5,1.3,54.4,108.9,111.4,-2.5,2397.5,74.6
9,10,MoraBanc Andorra,0.568,0.526,154.1,24.7,68.6,47.7,62.0,16.4,8.7,5.4,1.3,53.4,107.2,111.2,-4.0,2667.7,75.1
10,11,Divina Seguros Joventut,0.556,0.519,155.9,25.2,70.6,47.4,54.0,16.4,8.3,4.8,1.2,45.5,105.9,110.5,-4.5,2297.5,71.5
11,12,RETAbet Bilbao Basket,0.555,0.515,155.0,30.3,71.8,50.8,57.9,17.7,8.7,5.1,1.3,47.4,106.7,111.2,-4.5,2317.3,72.4
12,13,Tecnyconta Zaragoza,0.56,0.503,154.6,27.2,68.4,47.5,56.2,15.6,7.0,4.3,1.3,47.2,108.7,116.2,-7.5,2331.9,71.8
13,14,Rio Natura Monbus Obradoiro,0.5579999999999999,0.515,156.3,30.5,73.6,51.1,57.7,17.2,8.5,7.0,1.3,46.7,107.3,115.6,-8.2,2272.3,70.2
14,15,Montakit Fuenlabrada,0.5329999999999999,0.499,146.7,29.1,66.8,47.2,49.8,16.3,8.6,3.7,1.2,43.4,104.2,114.9,-10.7,2361.9,73.2
15,16,Real Betis Energia Plus,0.5489999999999999,0.508,154.7,29.1,69.9,49.0,40.8,16.4,8.4,4.0,1.2,41.1,106.1,117.0,-10.9,2292.7,71.6
16,17,ICL Manresa,0.53,0.485,149.9,27.5,66.3,46.0,48.7,16.8,8.0,4.6,1.2,38.7,102.1,119.8,-17.7,2325.5,71.8
